mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
59256.15	18.45	0.03	2.03e-16	5.65e-18
59264.14	18.43	0.06	2.07e-16	1.11e-17
59418.45	18.93	nan	1.30e-16	nan
59422.46	18.29	0.06	2.35e-16	1.35e-17
59424.46	18.38	0.05	2.17e-16	9.90e-18
59429.44	18.42	0.03	2.09e-16	6.12e-18
59438.46	18.38	0.03	2.17e-16	5.33e-18
59442.48	18.43	0.02	2.07e-16	4.45e-18
59446.48	18.46	0.02	2.02e-16	3.59e-18
59449.43	18.35	0.13	2.24e-16	2.68e-17
59450.44	18.22	0.09	2.52e-16	2.13e-17
59450.45	18.32	0.11	2.29e-16	2.26e-17
59459.44	18.45	0.02	2.04e-16	3.47e-18
59459.44	18.45	0.02	2.04e-16	3.56e-18
59460.44	18.47	0.02	1.99e-16	3.68e-18
59461.44	18.43	0.02	2.08e-16	4.03e-18
59461.44	18.48	0.02	1.98e-16	4.15e-18
59462.47	18.41	0.02	2.11e-16	3.95e-18
59463.44	18.44	0.02	2.05e-16	4.05e-18
59463.44	18.42	0.02	2.08e-16	3.68e-18
59464.46	18.49	0.02	1.95e-16	4.49e-18
59465.42	18.44	0.02	2.05e-16	4.16e-18
59467.46	18.44	0.02	2.05e-16	4.18e-18
59471.38	18.53	0.03	1.89e-16	5.97e-18
59474.42	18.47	0.01	1.99e-16	2.55e-18
59474.42	18.44	0.01	2.05e-16	2.51e-18
59475.46	18.43	0.03	2.07e-16	5.03e-18
59477.33	18.35	0.08	2.22e-16	1.57e-17
59477.33	18.36	0.08	2.21e-16	1.55e-17
59478.41	18.39	0.09	2.15e-16	1.77e-17
59479.35	18.40	0.11	2.13e-16	2.14e-17
59484.38	18.45	0.04	2.04e-16	7.56e-18
59484.39	18.45	0.04	2.04e-16	8.16e-18
59485.34	18.28	nan	2.38e-16	nan
59487.43	18.44	0.03	2.06e-16	5.56e-18
59487.44	18.40	0.03	2.13e-16	5.58e-18
59488.39	18.42	0.02	2.08e-16	4.68e-18
59489.36	18.48	0.03	1.97e-16	4.98e-18
59489.36	18.48	0.02	1.97e-16	3.76e-18
59494.36	18.57	0.10	1.83e-16	1.73e-17
59498.41	18.46	0.03	2.02e-16	4.94e-18
59501.40	18.42	0.02	2.10e-16	4.37e-18
59502.42	18.52	0.04	1.91e-16	6.63e-18
59503.34	18.42	0.06	2.10e-16	1.07e-17
59503.34	18.34	0.04	2.25e-16	9.31e-18
59504.43	18.40	0.04	2.13e-16	8.61e-18
59505.23	18.31	0.08	2.31e-16	1.77e-17
59509.37	18.33	0.06	2.27e-16	1.29e-17
59510.28	18.62	0.08	1.73e-16	1.27e-17
59511.37	18.38	0.06	2.18e-16	1.20e-17
59512.38	18.43	0.04	2.07e-16	7.55e-18
59517.27	18.42	0.02	2.08e-16	4.33e-18
59517.27	18.39	0.02	2.14e-16	3.52e-18
59518.28	18.46	0.01	2.01e-16	2.32e-18
59520.30	18.47	0.02	2.00e-16	3.12e-18
59521.30	18.50	0.02	1.95e-16	3.29e-18
59521.30	18.45	0.02	2.04e-16	3.13e-18
59522.36	18.46	0.02	2.01e-16	3.80e-18
59523.32	18.45	0.02	2.03e-16	3.03e-18
59523.32	18.47	0.01	1.99e-16	2.60e-18
59524.33	18.48	0.01	1.98e-16	2.39e-18
59525.32	18.43	0.02	2.08e-16	4.14e-18
59525.32	18.47	0.02	2.00e-16	3.72e-18
59526.33	18.47	0.01	2.00e-16	2.73e-18
59527.30	18.44	0.03	2.05e-16	5.71e-18
59527.30	18.49	0.03	1.96e-16	5.14e-18
59529.32	18.44	0.02	2.06e-16	4.15e-18
59530.30	18.47	0.04	2.00e-16	7.09e-18
59530.30	18.44	0.04	2.05e-16	6.97e-18
59531.36	18.34	0.03	2.24e-16	5.54e-18
59532.25	18.37	0.05	2.19e-16	1.01e-17
59532.26	18.39	0.05	2.15e-16	1.01e-17
59537.28	18.29	0.18	2.35e-16	3.93e-17
59537.28	18.12	0.13	2.76e-16	3.41e-17
59538.23	18.42	0.07	2.09e-16	1.28e-17
59540.36	18.49	0.07	1.96e-16	1.34e-17
59540.36	18.53	0.09	1.89e-16	1.48e-17
59542.28	18.44	0.05	2.05e-16	9.22e-18
59550.23	18.41	0.02	2.11e-16	4.06e-18
59622.16	18.51	0.08	1.93e-16	1.36e-17
59624.13	18.46	0.06	2.02e-16	1.10e-17
59627.17	18.42	0.10	2.09e-16	1.95e-17
59629.17	18.54	0.08	1.87e-16	1.45e-17
59787.46	18.52	0.03	1.91e-16	6.14e-18
59793.46	18.45	0.02	2.04e-16	4.58e-18
59795.42	18.52	0.10	1.90e-16	1.77e-17
59798.44	18.45	0.03	2.03e-16	6.05e-18
59801.40	18.43	0.08	2.08e-16	1.53e-17
59806.46	18.49	0.07	1.97e-16	1.30e-17
59809.42	18.44	0.07	2.06e-16	1.30e-17
59812.44	18.49	0.03	1.96e-16	4.82e-18
59815.46	18.52	0.02	1.91e-16	3.85e-18
59817.44	18.50	0.03	1.94e-16	4.60e-18
59819.44	18.53	0.03	1.90e-16	4.44e-18
59822.44	18.46	0.03	2.01e-16	5.58e-18
59824.42	18.49	0.03	1.97e-16	4.57e-18
59840.43	18.56	0.03	1.84e-16	4.90e-18
59840.49	18.49	0.02	1.96e-16	4.33e-18
59842.44	18.51	0.03	1.93e-16	5.57e-18
59844.45	18.55	0.03	1.86e-16	5.17e-18
59847.38	18.50	0.03	1.94e-16	4.49e-18
59849.44	18.53	0.03	1.88e-16	5.22e-18
59851.47	18.50	0.02	1.94e-16	3.80e-18
59856.33	18.45	0.02	2.04e-16	3.80e-18
59858.40	18.47	0.04	2.00e-16	7.67e-18
59860.35	18.47	0.07	1.99e-16	1.22e-17
59864.40	18.51	0.10	1.93e-16	1.70e-17
59866.32	18.44	0.05	2.05e-16	9.15e-18
59870.34	18.48	0.03	1.97e-16	5.49e-18
59874.39	18.50	0.02	1.95e-16	3.44e-18
59877.40	18.47	0.03	1.99e-16	6.03e-18
59879.32	18.53	0.03	1.88e-16	4.62e-18
