mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58721.47	16.69	nan	5.73e-16	nan
58721.47	10.14	nan	2.39e-13	nan
58723.39	12.28	nan	3.32e-14	nan
58723.39	18.91	0.01	7.38e-17	7.79e-19
58726.38	18.88	0.02	7.58e-17	1.47e-18
58726.38	12.29	nan	3.27e-14	nan
58730.42	18.83	0.02	7.93e-17	1.49e-18
58730.42	12.26	nan	3.38e-14	nan
58733.40	18.94	0.02	7.20e-17	1.21e-18
58733.40	12.32	nan	3.21e-14	nan
58736.43	12.32	nan	3.20e-14	nan
58736.43	18.89	0.02	7.53e-17	1.40e-18
58738.37	18.90	0.06	7.47e-17	3.85e-18
58738.37	12.42	nan	2.92e-14	nan
58738.37	12.42	nan	2.90e-14	nan
58738.37	18.92	0.06	7.31e-17	3.98e-18
58738.38	12.30	nan	3.25e-14	nan
58739.40	18.81	0.07	8.13e-17	5.06e-18
58739.40	12.30	nan	3.25e-14	nan
58739.40	12.31	nan	3.24e-14	nan
58739.45	12.42	nan	2.92e-14	nan
58739.45	18.86	0.08	7.72e-17	5.67e-18
58739.45	18.78	0.07	8.34e-17	5.65e-18
58739.45	12.40	nan	2.97e-14	nan
58745.35	18.81	0.06	8.12e-17	4.53e-18
58745.36	12.30	nan	3.24e-14	nan
58745.38	18.91	0.07	7.41e-17	4.59e-18
58745.38	12.42	nan	2.90e-14	nan
58745.38	19.00	0.07	6.79e-17	4.59e-18
58745.38	12.42	nan	2.93e-14	nan
58748.34	18.95	0.15	7.09e-17	9.57e-18
58748.34	11.88	nan	4.80e-14	nan
58748.36	18.85	0.03	7.84e-17	2.33e-18
58748.36	12.33	nan	3.16e-14	nan
58748.36	18.89	0.03	7.53e-17	2.07e-18
58748.36	12.34	nan	3.13e-14	nan
58749.37	12.37	nan	3.05e-14	nan
58749.37	18.91	0.02	7.39e-17	1.57e-18
58749.37	12.38	nan	3.04e-14	nan
58749.37	18.89	0.03	7.51e-17	1.94e-18
58750.33	18.85	0.03	7.84e-17	2.14e-18
58750.33	12.34	nan	3.14e-14	nan
58750.33	12.34	nan	3.14e-14	nan
58750.33	18.90	0.03	7.45e-17	2.36e-18
58751.32	18.87	0.03	7.68e-17	2.47e-18
58751.32	12.24	nan	3.44e-14	nan
58756.40	18.80	0.03	8.16e-17	2.27e-18
58757.33	12.32	nan	3.20e-14	nan
58758.32	12.30	nan	3.24e-14	nan
58759.31	18.88	0.01	7.60e-17	7.82e-19
58759.31	12.42	nan	2.93e-14	nan
58759.31	18.85	0.00	7.82e-17	3.57e-19
58759.31	12.41	nan	2.95e-14	nan
58759.36	12.31	nan	3.23e-14	nan
58759.36	12.31	nan	3.24e-14	nan
58760.32	12.30	nan	3.26e-14	nan
58761.36	12.29	nan	3.30e-14	nan
58761.37	12.41	nan	2.95e-14	nan
58761.37	18.86	0.02	7.76e-17	1.70e-18
58761.37	12.42	nan	2.91e-14	nan
58761.37	18.92	0.03	7.30e-17	1.79e-18
58763.29	18.86	0.03	7.77e-17	2.44e-18
58763.29	12.40	nan	2.97e-14	nan
58763.29	18.88	0.03	7.63e-17	2.03e-18
58763.29	12.41	nan	2.95e-14	nan
58763.36	12.30	nan	3.25e-14	nan
58764.14	12.11	nan	3.88e-14	nan
58765.14	12.13	nan	3.81e-14	nan
